,min(er_t),E[er_t]
DCC_garch,-0.5206,-0.2143
DCC_gjr,-0.5003,-0.1786
KNN5_pearson_garch,-0.4387,-0.125
KNN5_pearson_gjr,-0.4978,-0.1672
KNN5_kendall_garch,-0.7269,-0.1678
KNN5_kendall_gjr,-0.7666,-0.1687
KNN100_kendall_garch,-0.583,-0.0363
KNN100_kendall_gjr,-0.6167,-0.0671
KNN_idw_pearson_garch,-0.4094,-0.1586
KNN_idw_pearson_gjr,-0.4421,-0.1952
KNN_idw_kendall_garch,-0.7752,-0.0438
KNN_idw_kendall_gjr,-0.8023,-0.0756
RF10_pearson_garch,-0.5745,-0.2085
RF10_pearson_gjr,-0.6,-0.1256
RF10_kendall_garch,-0.8648,-0.0957
RF10_kendall_gjr,-0.888,-0.0595
RF100_pearson_garch,-0.5019,-0.1783
RF100_pearson_gjr,-0.5312,-0.1043
RF100_kendall_garch,-0.8433,-0.0914
RF100_kendall_gjr,-0.8703,-0.062
