Date,AA,AXP,BA,BAC,C,CAT,CVX,DD,DIS,GE,GM,HD,HPQ,IBM,INTC,JNJ,JPM,AIG,KO,MCD,MMM,MRK,MSFT,PFE,PG,T,UTX,VZ,WMT,XOM
3/16/87,-2.446605215,-0.632913505,-1.815873501,-0.714288751,0,-1.08109161,2.030526616,0,-2.171376022,-0.806455984,-1.182512794,-2.10534092,-1.129955525,-0.169348051,3.077165867,-1.08109161,-1.220590568,0,-2.040887163,-1.239685298,-0.607904608,1.321605139,0,-0.563381772,-2.266385958,-0.252844635,-0.250941161,-0.459067371,-1.986820322,-0.597016699
3/17/87,2.446605215,0.790517951,0.39190122,0.714288751,0,0.271370587,3.295191051,3.91329977,3.593200923,2.004075088,0.868540794,0,4.445176257,1.680711832,5.884050002,1.88430878,1.220590568,0.535237674,0.770222036,1.8538121,2.171376022,3.44119976,4.082199452,0.563381772,1.139613473,0,1.000008333,0.153256735,0.998344398,2.756079958
3/18/87,0,1.251972534,0.52015722,1.763714149,3.524593906,-1.36427764,2.085079548,2.169282461,0,-1.197619105,-0.393856358,8.167803101,-1.754430965,-0.585041368,1.418463499,-0.80321717,-0.347222571,0,-0.256082086,-1.8538121,-0.358637563,0,3.922071315,1.11733006,1.126772485,-0.25348556,-0.749067173,-1.387840317,-0.664454272,1.158314109
3/19/87,2.092752011,0.155400187,-0.52015722,0.696866932,2.564243061,1.904819497,0,-1.950224323,-0.945633524,0,0.550965581,1.941808586,3.264707784,0.501673293,4.138521616,0,-0.174064448,0,2.030526616,0.207684394,2.015480198,-0.636269379,3.774032798,0.554018038,1.114217655,0.506330196,0.250313022,0.619197025,0.332779009,-0.577479949
3/20/87,-0.296296513,-1.880933196,3.333642027,1.721212888,-0.847462699,1.072396336,1.88684843,2.378490502,0.945633524,1.988137055,0.469852078,3.774032798,1.698554637,1.119646778,-1.360565206,1.335133317,-0.349040494,5.873881717,0,1.850001374,2.663735953,2.521141935,-3.774032798,0.550965581,0.276625349,1.752235069,0,0.615386557,2.298951822,0.960622181
3/23/87,0.296296513,-0.475813745,-0.632513178,-0.341880675,1.268515953,1.587334916,1.698882559,2.427559841,2.095536518,2.71861403,1.396454035,3.636764417,-1.058210933,0.739526789,0,1.839736514,1.043487729,1.828812399,1.248455666,3.20668758,1.136375865,-0.207684394,0,0.547946576,1.098912158,0.247831601,-0.501254182,0.91603694,2.247285585,2.82770961
3/24/87,1.759576189,2.201346754,-0.254129743,-2.076199145,2.079076967,0,0.153022218,-0.41797344,2.502974807,0.763362486,0.153964619,1.76995771,-2.804930381,2.066105498,-2.777956411,0,-0.520382788,-2.840625416,-0.497513464,2.723903816,-0.3395589,-0.20811662,0,0,-0.273597982,0,-0.503779403,0.606062461,0.947874395,-0.186046565
3/25/87,0.579711768,-0.311526732,0.254129743,-0.701757266,-2.079076967,0,-1.851904777,0.626306849,0.448431245,-1.147240116,0,-1.76995771,-0.438597194,1.788245546,0,-2.371652662,1.724180643,-0.680274732,-0.750942202,-0.770716724,-0.796816965,-1.680711832,0,-2.2100347,-1.379332213,-0.247831601,0,-0.454202143,-1.265839687,-0.747667034
3/26/87,-3.230824323,-0.156128057,1.135658893,1.398624197,-2.985296315,0.262123348,0.311042241,0.10400417,1.553860343,0.383877631,0.842594031,-3.636764417,-0.661523912,-1.069105412,2.777956411,0.531916148,-0.51413995,-0.341880675,-1.010109599,0.770716724,0.796816965,1.680711832,0,1.111122543,0.277392688,-0.747201484,-1.270665127,-0.456274556,0.634922768,0.747667034
3/27/87,0,-2.052163572,-1.389788636,-1.398624197,-0.869570697,-0.262123348,-2.515855964,-2.100917609,-1.330396563,-2.325686216,-2.706001986,-1.869213301,-1.78576174,-2.132448537,4.027389914,-1.604312484,-0.344234419,-2.4264622,-2.051353983,-0.577479949,-0.113443007,-2.531780798,3.774032798,-2.801303623,0.276625349,0,-3.91184166,-1.227009259,-2.564243061,-1.500966265
