Asset,Mean,Std dev,Skewness,Kurtosis,Minimum,Maximum,JB
AA,0.04065814183430244,1.8584129846824455,-2.0612383493394275,30.999426508789725,-27.45595376,8.142210472,69670.0
AXP,0.0012778434220930852,2.3048575682715464,-1.3372911192157038,21.727728996171727,-30.34304294,17.12034682,34138.0
BA,0.04653510483139529,1.7130381127298417,-0.027201877311830908,6.770106024035538,-12.42530868,14.22433332,3263.0
BAC,0.051966155577906854,2.020565289185486,-0.47103230014076325,9.722280993961482,-20.76393648,10.883878,6793.0
C,0.036945410605813946,2.3388737476546226,-1.6138062851974428,18.73654386708663,-26.42617982,11.30771446,25749.0
CAT,0.04434205713604649,1.8547247427595817,-1.387201800613059,23.070119291776702,-24.41558074,13.58871063,38461.0
CVX,0.04643947215116279,1.5391556027863829,-1.3283263675655368,16.51435020961006,-18.12526096,8.004270767000001,19929.0
DD,0.032431532432558155,1.6120233331439837,-1.1239958726145434,15.742142576339637,-20.18984427,7.104205253,18011.0
DIS,0.06429666987500002,1.983751025353336,-2.6886801749716893,57.45282826548336,-34.26450957,17.56133381,237227.0
GE,0.052275607814534865,1.5919098035535884,-1.0568349224610907,16.506060268429223,-19.47440768,10.90403726,19724.0
GM,0.04078136217093024,1.9440360258153488,-0.8370272793401822,14.768123456387679,-23.62688812,13.70842991,15733.0
HD,0.16188870675813963,2.258724249831716,-1.0984950367540942,13.157020845694808,-26.4151575,8.929813765,12673.0
HPQ,0.022864525279069767,2.33041801643496,-0.7674799472595576,10.227865374499533,-22.63815466,13.35313926,7617.0
IBM,-0.038123300874999974,1.6823359200039067,-2.5418783724804794,41.09440528916545,-26.81606007,10.81685203,122154.0
INTC,0.09649244405872104,2.8216872792919223,-0.565478524847984,7.743271501281738,-21.51113796,22.65276493,4360.0
JNJ,0.049012705273837165,1.7173727840482804,-0.9453848518105408,13.829733006792848,-20.43812749,10.57321938,13876.0
JPM,0.02028637777034877,2.3724082576539836,-1.469324526379687,23.275087427201562,-32.34768745,13.04528884,39205.0
AIG,0.047893451335465145,1.6174857591500083,-0.8851852053047113,9.933679569829978,-17.18502569,7.316457586,7250.0
KO,0.08657408315639556,1.8273768297576407,-1.5314914881916786,40.90198383196464,-28.286278600000003,17.91112812,119852.0
MCD,0.05158028449186048,1.7130793437458105,-0.818769783497639,10.037238907103955,-18.27989977,10.03347148,7365.0
MMM,0.04612987619360475,1.4673639781298804,-2.594130509443854,37.05879748811752,-22.57925595,6.995858861,99760.0
MRK,0.049134144137209276,1.6084824594105671,-0.32285505026032624,4.7562271927848965,-13.93041717,9.267711452999999,1639.0
MSFT,0.12638397110697672,2.7827882487044477,-1.5909766384927564,23.778274378590456,-37.94896217,16.43030513,40998.0
PFE,0.048410665857558176,1.8466371704081104,-0.7195138332313284,9.36455922349843,-18.92419996,9.893994785,6392.0
PG,0.06431535601918607,1.6944090700658196,-2.845018002981002,82.00451957064838,-31.61972428,19.80376302,481420.0
T,0.06372543214825578,1.3871735903397477,-0.3586645384849706,4.1386196055315505,-10.31842362,6.9284459179999995,1255.0
UTX,0.023573552801744207,1.6514542816259585,-0.5683747511201842,9.356241481577142,-16.90057808,9.869937529,6325.0
VZ,0.04989497604825583,1.456917526598117,-0.9043823696985683,23.193195607968104,-19.31447898,13.18117017,38550.0
WMT,0.07530945249883725,1.8930493055302131,-0.2856803684480188,4.311582293850636,-12.49721392,11.46918431,1346.0
XOM,0.04373513240988366,1.5587483669499045,-2.2651484050215234,60.181778183043676,-26.76995729,16.53924947,259498.0
