Asset,Mean,Std dev,Skewness,Ex. Kurtosis,Minimum,Maximum,JB
AA,0.0601,2.071,-0.4802,11.36,-27.46,13.13,20172
AXP,0.0407,2.272,-0.7064,11.99,-30.34,17.12,22613
BA,0.0402,1.964,-0.5576,9.10,-19.39,14.22,13054
BAC,0.0562,2.070,-0.2483,5.21,-20.76,10.88,4253
C,0.0747,2.328,-0.6653,10.27,-26.43,16.85,16638
CAT,0.0481,2.054,-0.5227,9.08,-24.42,13.59,12963
CVX,0.0478,1.549,-0.4946,8.06,-18.13,9.04,10232
DD,0.0359,1.812,-0.3979,6.45,-20.19,8.37,6551
DIS,0.0413,2.074,-1.3173,27.44,-34.26,17.56,117944
GE,0.0689,1.713,-0.4117,8.00,-19.47,11.75,10041
GM,0.0282,1.984,-0.4274,7.61,-23.63,13.71,9091
HD,0.1224,2.334,-1.2136,18.04,-33.86,12.14,51412
HPQ,0.0389,2.638,-0.2964,6.21,-22.64,15.91,6031
IBM,0.0417,2.009,-0.6378,14.46,-26.82,12.36,32714
INTC,0.1009,2.897,-0.4263,6.08,-24.89,22.65,5846
JNJ,0.0704,1.660,-0.4638,8.20,-20.44,10.57,10564
JPM,0.0422,2.314,-0.6260,13.22,-32.35,14.77,27356
AIG,0.0694,1.701,-0.2275,5.21,-17.19,10.48,4247
KO,0.0624,1.797,-0.7580,21.66,-28.29,17.91,73197
MCD,0.0417,1.745,-0.3339,6.20,-18.28,10.31,6039
MMM,0.0488,1.586,-0.8289,14.45,-22.58,10.50,32827
MRK,0.0600,1.735,-0.1886,3.56,-13.93,9.27,1988
MSFT,0.1271,2.602,-0.9667,16.21,-37.95,17.85,41368
PFE,0.0772,1.942,-0.3331,4.48,-18.92,9.89,3182
PG,0.0608,1.837,-3.1385,68.07,-35.99,19.80,725300
T,0.0523,1.705,-0.1757,3.85,-13.52,10.67,2314
UTX,0.0530,1.827,-1.5147,24.37,-30.29,9.87,93592
VZ,0.0435,1.679,-0.1381,8.58,-19.31,13.18,11430
WMT,0.0769,2.054,-0.0796,2.69,-12.50,11.47,1128
XOM,0.0511,1.528,-1.0537,30.83,-26.77,16.54,148221
