Asset,Mean,St. Error,Skewness,Excess Kurtosis,Minimum,Maximum
AA,-0.0879,0.0789,-0.1156,12.28,-17.50,20.87
AXP,-0.0612,0.0663,-0.6442,13.31,-19.34,16.51
BA,0.0078,0.0508,0.3135,7.33,-8.04,14.40
BAC,-0.0634,0.0836,-0.6485,27.72,-30.41,24.14
C,-0.1404,0.0951,0.7485,44.57,-30.56,45.73
CAT,0.0136,0.0570,-0.5267,8.67,-15.68,13.74
CVX,0.0549,0.0550,0.2099,15.92,-13.33,18.95
DD,-0.0337,0.0479,-0.6138,10.44,-12.03,10.87
DIS,0.0021,0.0510,0.6270,12.55,-10.24,14.83
GE,-0.0386,0.0507,-0.5399,15.05,-13.68,12.76
GM,-0.2079,0.1098,-0.4240,17.59,-37.27,30.09
HD,-0.0265,0.0533,0.5288,5.56,-8.58,13.15
HPQ,0.0405,0.0547,0.4409,8.66,-14.08,13.56
IBM,-0.0028,0.0394,-0.2946,5.44,-8.65,9.13
INTC,-0.0553,0.0593,-0.4881,5.55,-13.24,11.17
JNJ,0.0209,0.0312,0.9525,17.17,-7.97,11.53
JPM,0.0014,0.0734,0.0105,15.21,-19.70,19.38
AIG,-0.2930,0.1435,-6.7438,116.70,-93.63,35.85
KO,0.0012,0.0354,0.6094,18.26,-9.08,12.99
MCD,0.0822,0.0414,0.1701,3.79,-8.31,8.98
MMM,-0.0219,0.0407,-0.3889,8.36,-9.38,9.43
MRK,-0.0172,0.0595,-3.1433,45.14,-31.19,12.25
MSFT,-0.0137,0.0488,0.4857,14.42,-12.08,17.05
PFE,-0.0392,0.0452,-0.4733,9.35,-11.83,9.67
PG,0.0252,0.0332,-0.0734,9.61,-8.23,9.73
T,0.0257,0.0459,0.7294,11.60,-8.04,15.05
UTX,0.0166,0.0444,0.5550,9.82,-7.26,12.79
VZ,0.0184,0.0435,0.5097,9.75,-8.42,13.65
WMT,0.0102,0.0381,0.4087,7.29,-8.42,10.49
XOM,0.0608,0.0524,0.0570,14.47,-15.04,15.87
