PERMNO,date,TICKER,PRC
12060,2/1/02,GE,40.95
12060,3/1/02,GE,40.61
12060,4/1/02,GE,40.95
12060,7/1/02,GE,39.36
12060,8/1/02,GE,38.95
12060,9/1/02,GE,38.55
12060,10/1/02,GE,38.61
12060,11/1/02,GE,38.23
12060,14/01/2002,GE,37.9
12060,15/01/2002,GE,38.71
12060,16/01/2002,GE,37.72
12060,17/01/2002,GE,38.75
12060,18/01/2002,GE,38.68
12060,22/01/2002,GE,38.3
12060,23/01/2002,GE,37.65
12060,24/01/2002,GE,37.55
12060,25/01/2002,GE,38.26
12060,28/01/2002,GE,38.15
12060,29/01/2002,GE,36.46
12060,30/01/2002,GE,36.88
12060,31/01/2002,GE,37.15
12060,1/2/02,GE,36.85
12060,4/2/02,GE,35
12060,5/2/02,GE,36.21
12060,6/2/02,GE,36.96
12060,7/2/02,GE,37.2
12060,8/2/02,GE,37.25
12060,11/2/02,GE,37.8
12060,12/2/02,GE,37.5
12060,13/02/2002,GE,38.1
12060,14/02/2002,GE,38
12060,15/02/2002,GE,37.11
12060,19/02/2002,GE,36.4
12060,20/02/2002,GE,37.57
12060,21/02/2002,GE,37.52
12060,22/02/2002,GE,38.09
12060,25/02/2002,GE,39.2
12060,26/02/2002,GE,38.75
12060,27/02/2002,GE,38.75
12060,28/02/2002,GE,38.5
12060,1/3/02,GE,39.45
12060,4/3/02,GE,40.2
12060,5/3/02,GE,40.5
12060,6/3/02,GE,41.55
12060,7/3/02,GE,40.95
12060,8/3/02,GE,40.6
12060,11/3/02,GE,41.15
12060,12/3/02,GE,41.1
12060,13/03/2002,GE,40
12060,14/03/2002,GE,40.41
12060,15/03/2002,GE,40.19
12060,18/03/2002,GE,39.9
12060,19/03/2002,GE,39.9
12060,20/03/2002,GE,38.8
12060,21/03/2002,GE,37.45
12060,22/03/2002,GE,37.87
12060,25/03/2002,GE,37.04
12060,26/03/2002,GE,37.31
12060,27/03/2002,GE,37.45
12060,28/03/2002,GE,37.45
12060,1/4/02,GE,37.3
12060,2/4/02,GE,37.1
12060,3/4/02,GE,36.75
12060,4/4/02,GE,37.3
12060,5/4/02,GE,37.1
12060,8/4/02,GE,36.86
12060,9/4/02,GE,36.45
12060,10/4/02,GE,37.2
12060,11/4/02,GE,33.75
12060,12/4/02,GE,33.55
12060,15/04/2002,GE,31.85
12060,16/04/2002,GE,33.1
12060,17/04/2002,GE,33.65
12060,18/04/2002,GE,33.8
12060,19/04/2002,GE,33.7
12060,22/04/2002,GE,32.86
12060,23/04/2002,GE,32.8
12060,24/04/2002,GE,32.5
12060,25/04/2002,GE,32.05
12060,26/04/2002,GE,31.5
12060,29/04/2002,GE,30.85
12060,30/04/2002,GE,31.55
12060,1/5/02,GE,31.7
12060,2/5/02,GE,31.6
12060,3/5/02,GE,31.7
12060,6/5/02,GE,30.97
12060,7/5/02,GE,30.65
12060,8/5/02,GE,32.85
12060,9/5/02,GE,31.49
12060,10/5/02,GE,30.65
12060,13/05/2002,GE,30.85
12060,14/05/2002,GE,31.58
12060,15/05/2002,GE,30.93
12060,16/05/2002,GE,32
12060,17/05/2002,GE,33.45
12060,20/05/2002,GE,32.6
12060,21/05/2002,GE,32.15
12060,22/05/2002,GE,31.92
12060,23/05/2002,GE,32.95
12060,24/05/2002,GE,32.6
12060,28/05/2002,GE,32.05
12060,29/05/2002,GE,31.4
12060,30/05/2002,GE,31.2
12060,31/05/2002,GE,31.14
12060,3/6/02,GE,30.11
12060,4/6/02,GE,30.05
12060,5/6/02,GE,30.15
12060,6/6/02,GE,29.3
12060,7/6/02,GE,30.2
12060,10/6/02,GE,29.95
12060,11/6/02,GE,29.4
12060,12/6/02,GE,30.35
12060,13/06/2002,GE,29.85
12060,14/06/2002,GE,29.7
12060,17/06/2002,GE,30.51
12060,18/06/2002,GE,31.15
12060,19/06/2002,GE,30.35
12060,20/06/2002,GE,29.7
12060,21/06/2002,GE,28.95
12060,24/06/2002,GE,29.6
12060,25/06/2002,GE,28.9
12060,26/06/2002,GE,29.5
12060,27/06/2002,GE,29.9
12060,28/06/2002,GE,29.05
12060,1/7/02,GE,28.45
12060,2/7/02,GE,28.1
12060,3/7/02,GE,27.9
12060,5/7/02,GE,29.69
12060,8/7/02,GE,29.43
12060,9/7/02,GE,28.3
12060,10/7/02,GE,27.05
12060,11/7/02,GE,27.35
12060,12/7/02,GE,28.6
12060,15/07/2002,GE,28.25
12060,16/07/2002,GE,27.55
12060,17/07/2002,GE,28.25
12060,18/07/2002,GE,27.7
12060,19/07/2002,GE,26.52
12060,22/07/2002,GE,25.66
12060,23/07/2002,GE,24.8
12060,24/07/2002,GE,26.53
12060,25/07/2002,GE,26.65
12060,26/07/2002,GE,27.8
12060,29/07/2002,GE,30.45
12060,30/07/2002,GE,31.6
12060,31/07/2002,GE,32.2
12060,1/8/02,GE,31.4
12060,2/8/02,GE,29.5
12060,5/8/02,GE,28.3
12060,6/8/02,GE,29.65
12060,7/8/02,GE,30.75
12060,8/8/02,GE,31.95
12060,9/8/02,GE,32.4
12060,12/8/02,GE,32.25
12060,13/08/2002,GE,30.95
12060,14/08/2002,GE,31.9
12060,15/08/2002,GE,32.29
12060,16/08/2002,GE,31.55
12060,19/08/2002,GE,32.89
12060,20/08/2002,GE,32.25
12060,21/08/2002,GE,32.3
12060,22/08/2002,GE,32.7
12060,23/08/2002,GE,32.25
12060,26/08/2002,GE,32.07
12060,27/08/2002,GE,31.95
12060,28/08/2002,GE,31.3
12060,29/08/2002,GE,30.35
12060,30/08/2002,GE,30.15
12060,3/9/02,GE,28.46
12060,4/9/02,GE,28.7
12060,5/9/02,GE,28
12060,6/9/02,GE,28.3
12060,9/9/02,GE,28.78
12060,10/9/02,GE,29.08
12060,11/9/02,GE,29
12060,12/9/02,GE,28
12060,13/09/2002,GE,27.05
12060,16/09/2002,GE,27.9
12060,17/09/2002,GE,27.7
12060,18/09/2002,GE,27.35
12060,19/09/2002,GE,26.55
12060,20/09/2002,GE,26.75
12060,23/09/2002,GE,26.4
12060,24/09/2002,GE,25.9
12060,25/09/2002,GE,27
12060,26/09/2002,GE,26.39
12060,27/09/2002,GE,24.47
12060,30/09/2002,GE,24.65
12060,1/10/02,GE,26.2
12060,2/10/02,GE,24.8
12060,3/10/02,GE,24.62
12060,4/10/02,GE,24.01
12060,7/10/02,GE,22.95
12060,8/10/02,GE,23.35
12060,9/10/02,GE,22
12060,10/10/02,GE,22.6
12060,11/10/02,GE,24.21
12060,14/10/2002,GE,24.35
12060,15/10/2002,GE,26.2
12060,16/10/2002,GE,25.6
12060,17/10/2002,GE,26.89
12060,18/10/2002,GE,26.65
12060,21/10/2002,GE,27.15
12060,22/10/2002,GE,27.07
12060,23/10/2002,GE,26.9
12060,24/10/2002,GE,26
12060,25/10/2002,GE,26.24
12060,28/10/2002,GE,26.25
12060,29/10/2002,GE,25.85
12060,30/10/2002,GE,25.15
12060,31/10/2002,GE,25.25
12060,1/11/02,GE,26
12060,4/11/02,GE,26.5
12060,5/11/02,GE,26.5
12060,6/11/02,GE,26.6
12060,7/11/02,GE,26.11
12060,8/11/02,GE,25.1
12060,11/11/02,GE,24.21
12060,12/11/02,GE,23.85
12060,13/11/2002,GE,24.09
12060,14/11/2002,GE,24.5
12060,15/11/2002,GE,23.86
12060,18/11/2002,GE,23.6
12060,19/11/2002,GE,23.9
12060,20/11/2002,GE,24.8
12060,21/11/2002,GE,26.85
12060,22/11/2002,GE,26.45
12060,25/11/2002,GE,26.8
12060,26/11/2002,GE,26.35
12060,27/11/2002,GE,27.15
12060,29/11/2002,GE,27.12
12060,2/12/02,GE,27.2
12060,3/12/02,GE,26.75
12060,4/12/02,GE,26.52
12060,5/12/02,GE,25.8
12060,6/12/02,GE,26.05
12060,9/12/02,GE,25.5
12060,10/12/02,GE,25.93
12060,11/12/02,GE,26.14
12060,12/12/02,GE,25.9
12060,13/12/2002,GE,25.5
12060,16/12/2002,GE,26.43
12060,17/12/2002,GE,26
12060,18/12/2002,GE,25.66
12060,19/12/2002,GE,25.4
12060,20/12/2002,GE,25.95
12060,23/12/2002,GE,25.73
12060,24/12/2002,GE,25.33
12060,26/12/2002,GE,25.3
12060,27/12/2002,GE,24.7
12060,30/12/2002,GE,24.5
12060,31/12/2002,GE,24.35
12060,2/1/03,GE,25.48
12060,3/1/03,GE,25.4
12060,6/1/03,GE,26.05
12060,7/1/03,GE,25.9
12060,8/1/03,GE,25.5
12060,9/1/03,GE,25.9
12060,10/1/03,GE,25.65
12060,13/01/2003,GE,25.64
12060,14/01/2003,GE,25.71
12060,15/01/2003,GE,25.19
12060,16/01/2003,GE,25.03
12060,17/01/2003,GE,24.88
12060,21/01/2003,GE,24.06
12060,22/01/2003,GE,23.55
12060,23/01/2003,GE,23.95
12060,24/01/2003,GE,23.06
12060,27/01/2003,GE,23.05
12060,28/01/2003,GE,23.15
12060,29/01/2003,GE,23.03
12060,30/01/2003,GE,22.55
12060,31/01/2003,GE,23.14
12060,3/2/03,GE,23.65
12060,4/2/03,GE,23.05
12060,5/2/03,GE,23
12060,6/2/03,GE,22.89
12060,7/2/03,GE,22.7
12060,10/2/03,GE,22.63
12060,11/2/03,GE,22.5
12060,12/2/03,GE,22.25
12060,13/02/2003,GE,22.17
12060,14/02/2003,GE,22.48
12060,18/02/2003,GE,22.91
12060,19/02/2003,GE,23.35
12060,20/02/2003,GE,23.35
12060,21/02/2003,GE,23.8
12060,24/02/2003,GE,23.42
12060,25/02/2003,GE,23.98
12060,26/02/2003,GE,23.37
12060,27/02/2003,GE,23.9
12060,28/02/2003,GE,24.05
12060,3/3/03,GE,23.9
12060,4/3/03,GE,23.4
12060,5/3/03,GE,23.8
12060,6/3/03,GE,23.95
12060,7/3/03,GE,24.3
12060,10/3/03,GE,23.6
12060,11/3/03,GE,23.35
12060,12/3/03,GE,23.8
12060,13/03/2003,GE,25.21
12060,14/03/2003,GE,25.65
12060,17/03/2003,GE,26.27
12060,18/03/2003,GE,26.4
12060,19/03/2003,GE,26.98
12060,20/03/2003,GE,26.85
12060,21/03/2003,GE,28
12060,24/03/2003,GE,26.73
12060,25/03/2003,GE,26.98
12060,26/03/2003,GE,26.6
12060,27/03/2003,GE,26.44
12060,28/03/2003,GE,26.03
12060,31/03/2003,GE,25.5
12060,1/4/03,GE,26.13
12060,2/4/03,GE,27.05
12060,3/4/03,GE,27.55
12060,4/4/03,GE,27.63
12060,7/4/03,GE,27.76
12060,8/4/03,GE,28.06
12060,9/4/03,GE,27.3
12060,10/4/03,GE,27.38
12060,11/4/03,GE,27.36
12060,14/04/2003,GE,27.76
12060,15/04/2003,GE,28.3
12060,16/04/2003,GE,27.83
