Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,27.899288,27.899288,27.760521,43.937500,27.879488,1003200
1993-02-01,27.899288,28.077789,27.899288,44.250000,28.077789,480500
1993-02-02,28.057917,28.157097,27.998465,44.343700,28.137238,201300
1993-02-03,28.176889,28.454502,28.157097,44.812500,28.434700,529400
1993-02-04,28.533812,28.613121,28.216549,45.000000,28.553669,531500
1993-02-05,28.533812,28.593351,28.375177,44.968700,28.533812,492100
1993-02-08,28.533812,28.632996,28.494160,44.968700,28.533812,596100
1993-02-09,28.434700,28.434700,28.276075,44.656200,28.335520,122100
1993-02-10,28.335520,28.395048,28.256220,44.718700,28.375177,379600
1993-02-11,28.414845,28.632996,28.414845,44.937500,28.514030,19500
1993-02-12,28.474361,28.474361,28.295856,44.593700,28.295856,42500
1993-02-16,28.216549,28.216549,27.542370,43.468700,27.582026,374800
1993-02-17,27.582026,27.621691,27.463060,43.437500,27.562233,210900
1993-02-18,27.879488,27.879488,27.165646,43.406200,27.542370,378100
1993-02-19,27.542370,27.641535,27.502733,43.562500,27.641535,34900
1993-02-22,27.720875,27.780315,27.641535,43.718700,27.740639,513600
1993-02-23,27.819967,27.839838,27.582026,43.687500,27.720875,373700
1993-02-24,27.740639,28.077789,27.740639,44.250000,28.077789,26300
1993-02-25,28.057917,28.157097,27.998465,44.343700,28.137238,44500
1993-02-26,28.196756,28.196756,28.038136,44.406200,28.176889,66200
1993-03-01,28.276075,28.276075,28.057917,44.281200,28.097569,66500
1993-03-02,28.117451,28.514030,28.077789,44.937500,28.514030,182400
1993-03-03,28.553669,28.652781,28.514030,45.125000,28.632996,280100
1993-03-04,28.672647,28.672647,28.474361,44.875000,28.474361,89500
1993-03-05,28.514030,28.632996,28.375177,44.750000,28.395048,40000
1993-03-08,28.454502,29.029564,28.454502,45.750000,29.029564,50800
1993-03-09,28.970058,28.989906,28.870932,45.593700,28.930387,169300
1993-03-10,28.930387,28.989906,28.811411,45.687500,28.989906,194400
1993-03-11,29.009712,29.089018,28.870932,45.562500,28.910616,70900
1993-03-12,28.672647,28.692448,28.434700,45.093700,28.613121,643600
1993-03-15,28.593351,28.751972,28.593351,45.312500,28.751972,310800
1993-03-16,28.751972,28.831282,28.751972,45.312500,28.751972,30800
1993-03-17,28.712313,28.712313,28.533812,45.031200,28.573473,21800
1993-03-18,28.692448,28.870932,28.692448,45.312500,28.751972,59300
1993-03-19,28.867802,28.867802,28.708422,45.031200,28.708422,66900
1993-03-22,28.429504,28.608829,28.409603,44.781200,28.549040,183400
1993-03-23,28.628731,28.648682,28.568989,44.875000,28.608829,55200
1993-03-24,28.568989,28.728369,28.429504,44.875000,28.608829,37200
1993-03-25,28.628731,28.847898,28.588879,45.156200,28.788118,110100
1993-03-26,28.768234,28.788118,28.608829,44.906200,28.628731,101500
1993-03-29,28.648682,28.887762,28.648682,45.093700,28.748262,87100
1993-03-30,28.788118,28.827948,28.748262,45.218700,28.827948,56000
1993-03-31,28.907648,28.987331,28.808050,45.187500,28.808050,111600
1993-04-01,28.847898,28.847898,28.648682,45.031200,28.708422,129500
1993-04-02,28.469353,28.469353,28.110739,44.093700,28.110739,59400
1993-04-05,28.329927,28.329927,28.170534,44.312500,28.250248,172200
1993-04-06,28.309969,28.309969,28.090849,44.187500,28.170534,129700
1993-04-07,28.210386,28.270132,28.150595,44.343700,28.270132,28000
1993-04-08,28.389673,28.389673,28.110739,44.281200,28.230289,180800
1993-04-12,28.509180,28.648682,28.469353,44.906200,28.628731,348500
1993-04-13,28.608829,28.788118,28.588879,45.000000,28.688536,146100
1993-04-14,28.708422,28.728369,28.628731,44.937500,28.648682,119600
1993-04-15,28.628731,28.708422,28.529142,44.937500,28.648682,148600
1993-04-16,28.668562,28.708422,28.608829,44.937500,28.648682,47900
1993-04-19,28.648682,28.728369,28.509180,44.750000,28.529142,157000
1993-04-20,28.489307,28.529142,28.210386,44.531200,28.389673,279500
1993-04-21,28.449467,28.449467,28.290083,44.500000,28.369780,67900
1993-04-22,28.250248,28.489307,28.011164,43.937500,28.011164,97700
1993-04-23,27.951366,28.031042,27.851772,43.750000,27.891632,106000
1993-04-26,27.911516,28.011164,27.592751,43.406200,27.672449,62600
1993-04-27,27.632601,27.971313,27.632601,43.875000,27.971313,156800
1993-04-28,27.931486,27.991213,27.871666,43.781200,27.911516,85900
1993-04-29,27.971313,28.031042,27.811943,43.968700,28.031042,85000
1993-04-30,28.130701,28.230289,28.070896,44.031200,28.070896,88500
1993-05-03,28.110739,28.250248,27.991213,44.312500,28.250248,80500
1993-05-04,28.309969,28.449467,28.270132,44.468700,28.349815,149100
1993-05-05,28.349815,28.529142,28.349815,44.593700,28.429504,109000
1993-05-06,28.389673,28.409603,28.309969,44.437500,28.329927,54700
1993-05-07,28.349815,28.349815,28.230289,44.343700,28.270132,68000
1993-05-10,28.309969,28.489307,28.309969,44.437500,28.329927,113900
1993-05-11,28.329927,28.449467,28.250248,44.625000,28.449467,42600
1993-05-12,28.329927,28.429504,28.329927,44.562500,28.409603,31000
1993-05-13,28.290083,28.290083,28.050999,44.031200,28.070896,129100
1993-05-14,28.070896,28.150595,28.031042,44.000000,28.050999,63500
1993-05-17,28.130701,28.150595,28.011164,44.156200,28.150595,34000
1993-05-18,28.170534,28.190437,28.031042,44.125000,28.130701,105200
1993-05-19,28.130701,28.708422,27.951366,45.031200,28.708422,50200
1993-05-20,28.708422,28.788118,28.648682,45.156200,28.788118,98200
1993-05-21,28.808050,28.847898,28.509180,44.750000,28.529142,221400
